Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0967240490462767,-6.50785287935007E-06,0.570595021546874,0,0,0,732.561419245809,55.0439847447433,0.00105467372527832,-13.2136142377722,215.138264753584,0.00166435387234711,233.631575009062,0,0,0,0,0,0,package://grape_harvester/meshes/base_link.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://grape_harvester/meshes/base_link.STL,,GH275.stp-1/eBom-prt51.stp-1;GH275.stp-1/eBom-prt54.stp-1;GH275.stp-1/eBom-prt52.stp-1;GH275.stp-1/eBom-prt53.stp-1;GH275.stp-1/eBom-prt55.stp-4;GH275.stp-1/eBom-prt55.stp-1;GH275.stp-1/eBom-prt55.stp-2;GH275.stp-1/eBom-prt55.stp-3;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-3;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-4;GH275.stp-1/eBom-asm1.stp-1/eBom-prt1.stp-2;GH275.stp-1/eBom-asm1.stp-1/eBom-prt1.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt2.stp-2;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-2;GH275.stp-1/eBom-asm1.stp-1/eBom-prt0.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt2.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-4;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-1;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-3;GH275.stp-1/eBom-asm1.stp-1/eBom-prt3.stp-2,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
l_wheel_front,-2.55500666828112E-05,-0.00431559968288031,2.73318019216873E-05,0,0,0,15.911327710551,0.256653495251073,3.31407246755762E-05,3.06050778192681E-05,0.446525377478014,-3.54358257007552E-05,0.256649431563068,0,0,0,0,0,0,package://grape_harvester/meshes/l_wheel_front.STL,0.764705882352941,0.764705882352941,0.764705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_wheel_front.STL,,GH275.stp-1/eBom-asm2.stp-1/5.50A-8-00.stp-1;GH275.stp-1/eBom-asm2.stp-1/AS-16x6.50-8-01.stp-1,Coordinate System5,Axis1,base_l_wheel_front,continuous,0.860000000000001,0.52594220962433,0.2225,0,0,0,base_link,0,-1,0,500000,1000000,-1000000,1000000,,,,,,,,
r_wheel_front,-2.55500666829223E-05,0.00262660994145059,2.73318019217497E-05,0,0,0,15.9113277105509,0.256653495251073,3.31407246756976E-05,3.06050778195966E-05,0.446525377478014,-3.5435825700834E-05,0.256649431563068,0,0,0,0,0,0,package://grape_harvester/meshes/r_wheel_front.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_wheel_front.STL,,GH275.stp-1/eBom-asm2.stp-2/AS-16x6.50-8-01.stp-1;GH275.stp-1/eBom-asm2.stp-2/5.50A-8-00.stp-1,Coordinate System6,Axis2,base_r_wheel_front,revolute,0.860000000000001,-0.524999999999999,0.2225,0,0,0,base_link,0,1,0,50000,50000,-1000000,1000000,,,,,,,,
l_wheel_back,-2.55500666831443E-05,-0.00337339005854942,2.73318019219093E-05,0,0,0,15.911327710551,0.256653495251073,3.31407246756729E-05,3.06050778194416E-05,0.446525377478015,-3.54358257008432E-05,0.256649431563068,0,0,0,0,0,0,package://grape_harvester/meshes/l_wheel_back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_wheel_back.STL,,GH275.stp-1/eBom-asm2.stp-3/AS-16x6.50-8-01.stp-1;GH275.stp-1/eBom-asm2.stp-3/5.50A-8-00.stp-1,Coordinate System4,Axis3,base_l_wheel_back,revolute,-0.86,0.525,0.2225,0,0,0,base_link,0,-1,0,50000,50000,-1000000,1000000,,,,,,,,
r_wheel_back,-2.55500666828112E-05,0.0026266099414507,2.73318019219232E-05,0,0,0,15.911327710551,0.256653495251073,3.31407246756884E-05,3.06050778196904E-05,0.446525377478014,-3.54358257007756E-05,0.256649431563068,0,0,0,0,0,0,package://grape_harvester/meshes/r_wheel_back.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_wheel_back.STL,,GH275.stp-1/eBom-asm2.stp-4/AS-16x6.50-8-01.stp-1;GH275.stp-1/eBom-asm2.stp-4/5.50A-8-00.stp-1,Coordinate System7,Axis4,base_r_wheel_back,revolute,-0.86,-0.524999999999999,0.2225,0,0,0,base_link,0,1,0,50000,50000,-1000000,1000000,,,,,,,,
l_arm_base,0.0024968,-0.015377,0.42921,0,0,0,3.3953,0.20912,-7.5254E-05,0.0010211,0.2113,-0.00038185,0.015276,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_base.STL,0.56471,0.56471,0.56471,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_base.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-asm4.stp-1/eBom-prt6.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-prt46.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-prt47.stp-1;GH275.stp-1/eBom-asm3.stp-1/Group-1.stp-1/SMB-JACK-TO-FAKRA-PLUG-ADAPTER.stp-1;GH275.stp-1/eBom-asm3.stp-1/Group-1.stp-1/Plastron.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm4.stp-1/eBom-prt7.stp-1,Coordinate System13,Axis5,base_l_arm_base,fixed,0.345503212092889,0.275067184842277,0.8625,0,0,0,base_link,0,0,0,,,,,,,,,,,,
l_arm_link_1,0.000125636870732804,0.0804188199429272,-0.0372240719211019,0,0,0,0.993769615600529,0.0034290734895918,1.44752336404463E-05,2.09107970542603E-06,0.000950241498545379,7.33029796466367E-05,0.0039252957485201,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_link_1.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_link_1.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-prt42.stp-1,Coordinate System21,Axis5,l_arm_base_l_arm_link1,prismatic,0,0,0.593759108516829,0,0,0,l_arm_base,0,0,-1,300,3,0.3,0.7,,,,,,,,
l_arm_link_2,-0.0854570113219302,0.0709105321317886,-0.0984483167347361,0,0,0,2.16979338726156,0.00866799275524474,0.00727661797303508,-7.28447678409945E-05,0.0113873692649047,6.03025196983541E-05,0.0186444325786857,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_link_2.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_link_2.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-prt43.stp-1,Coordinate System14,Axis6,l_arm_link_1_l_arm_link_2,revolute,-2.38538024483481E-05,0.131932815157645,-0.00200000000005285,0,0,0,l_arm_link_1,0,0,1,300,3,-3.14,3.14,,,,,,,,
l_arm_link_3,0.0699396065905296,-0.0737302141498409,-0.0926276756075906,0,0,0,1.46789098760177,0.00546308340369262,0.00380182327080884,1.85741775412588E-05,0.00506145717588313,-1.95812221911357E-05,0.0100016298513614,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_link_3.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_arm_link_3.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-prt44.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-prt45.stp-1;GH275.stp-1/eBom-asm3.stp-1/Group.stp-1/Plastron.stp-1,Coordinate System15,Axis7,l_arm_link_2_l_arm_link_3,revolute,-0.16927333898573,0.140522370848582,-0.0629999999999309,0,0,1.5707963267949,l_arm_link_2,0,0,1,300,3,-3.14,3.14,,,,,,,,
gripper_base,0.0417656890379304,-0.0440296352379506,-0.0818516657835077,0,0,0,0.109749472914355,0.000158320167909366,4.98951547405743E-05,4.08521109394338E-06,0.0001530507624686,-4.3048628224785E-06,0.000264761402018064,0,0,0,0,0,0,package://grape_harvester/meshes/gripper_base.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/gripper_base.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt25.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt24.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt26.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt28.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt27.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt29.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt31.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt30.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt32.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt33.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt37.stp-1,Coordinate System16,Axis8,l_arm_link3_gripper_base,revolute,0.137641878611459,-0.145102423315937,-0.0720000000000072,0,0,0,l_arm_link_3,0,0,1,300,3,-3.14,3.14,,,,,,,,
r_finger_l_gripper,-0.0253969129652248,0.0241461215019181,0.000850862451540646,0,0,0,0.0110592335472186,4.37396734706745E-06,2.16963471246923E-06,4.42617514527407E-10,2.62421421445249E-06,9.63789542828289E-15,6.67238241923964E-06,0,0,0,0,0,0,package://grape_harvester/meshes/r_finger_l_gripper.STL,1,0.898039215686275,0.8,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_finger_l_gripper.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt36.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt34.stp-2,Coordinate System22,Axis9,l_gripper_base_r_finger,prismatic,0.151543661927759,-0.159757719126552,-0.0833093207226201,0,0,0.759018095073969,gripper_base,-1,0,0,300,3,-0.1,0.1,,,,,,,,
l_finger_l_gripper,0.0201917326469194,0.0171855945703733,0.000409320456968953,0,0,0,0.0155284591982907,5.33107508010463E-06,-2.1696347035305E-06,-5.28113216851625E-14,2.72756181550335E-06,1.13840520310012E-12,7.66157734339293E-06,0,0,0,0,0,0,package://grape_harvester/meshes/l_finger_l_gripper.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://grape_harvester/meshes/l_finger_l_gripper.STL,,GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt34.stp-1;GH275.stp-1/eBom-asm3.stp-1/eBom-asm5.stp-1/eBom-prt35.stp-2,Coordinate System22,Axis9,l_gripper_base_l_finger,prismatic,0.151543661927759,-0.159757719126552,-0.0833093207226201,0,0,0.759018095073969,gripper_base,-1,0,0,300,3,-0.1,0.1,,,,,,,,
r_arm_base,0.0016045,0.015369,0.42939,0,0,0,3.3946,0.20912,-2.7958E-05,-0.0010211,0.2113,0.00038776,0.015276,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_base.STL,0.56471,0.56471,0.56471,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_base.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-asm4.stp-1/eBom-prt6.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-prt47.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-prt46.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm4.stp-1/eBom-prt7.stp-1;GH275.stp-1/eBom-asm11.stp-1/Group-1.stp-1/Plastron.stp-1,Coordinate System8,Axis10,base_r_arm_base,fixed,0.349976146197634,-0.275067184842277,0.8625,0,0,0,base_link,0,0,0,,,,,,,,,,,,
r_arm_link_1,-0.000125636870781154,-0.0804188199429695,-0.0372240719211019,0,0,0,0.99376961560053,0.00342907348959179,1.44752336404472E-05,-2.09107970542582E-06,0.000950241498545383,-7.33029796466401E-05,0.00392529574852009,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_link_1.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_link_1.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-prt42.stp-1,Coordinate System20,Axis10,r_arm_base_r_arm_link_1,prismatic,0,0,0.455999999999899,0,0,0,r_arm_base,0,0,-1,300,3,0.3,0.7,,,,,,,,
r_arm_link_2,0.110638958296988,-0.00949870182453177,-0.0984483168531514,0,0,0,2.16979338725361,0.00273445011587975,0.00126755844621284,9.42288684763653E-05,0.0173209120460984,-7.97968333694519E-06,0.0186444327205125,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_link_2.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_link_2.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-prt48.stp-1,Coordinate System9,Axis11,r_arm_link_1_r_arm_link_2,revolute,2.38538023998869E-05,-0.131932815157687,-0.00200000000005285,0,0,0,r_arm_link_1,0,0,1,300,3,-3.14,3.14,,,,,,,,
r_arm_link_3,0.0431771728754073,0.0947109741374368,-0.0895746798248389,0,0,0,1.51944277714983,0.00779168094949869,-0.00282823353959421,1.04013867884703E-05,0.00287734902626481,2.5071131850438E-05,0.0101312773842739,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_link_3.STL,0.564705882352941,0.564705882352941,0.564705882352941,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_link_3.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-prt49.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-prt50.stp-1;GH275.stp-1/eBom-asm11.stp-1/Group-2.stp-1/PartSup.stp-1;GH275.stp-1/eBom-asm11.stp-1/Group-2.stp-1/Plastron.stp-1,Coordinate System10,Axis12,r_arm_link_2_r_arm_link_3,revolute,0.219189537435978,-0.0188665492047488,-0.0629999999999324,0,0,0,r_arm_link_2,0,0,1,300,3,-3.14,3.14,,,,,,,,
r_arm_gripper_base,0.0521148210779367,-0.0240205898391851,-0.0822842118271686,0,0,0,0.149380329868679,0.000127476928748419,3.79028930298665E-05,5.40933294687369E-06,0.000193341890041489,-2.46472178566827E-06,0.000269777657282667,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_gripper_base.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_arm_gripper_base.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/DEC_24-2_MODULE_ASM.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-asm8.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/539473.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/2974755.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt25.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt24.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt26.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt27.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt28.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt29.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt30.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt31.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt32.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt33.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt37.stp-1,Coordinate System19,Axis13,r_arm_link_3_r_arm_gripper_base,revolute,0.0829629163109964,0.181981192756639,-0.0719999999999965,0,0,1.5707963267949,r_arm_link_3,0,0,1,300,3,-3.14,3.14,,,,,,,,
r_gripper_l_finger,0.0201917327019903,0.0173408266589892,0.000100073144415291,0,0,0,0.0155284591580667,5.33107508612748E-06,-2.16963471071172E-06,-5.78919974091421E-14,2.72756180168153E-06,1.13591600331937E-12,7.66157733174381E-06,0,0,0,0,0,0,package://grape_harvester/meshes/r_gripper_l_finger.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_gripper_l_finger.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt34.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt35.stp-2,Coordinate System23,Axis14,r_gripper_base_l_finger,prismatic,0.200502478521291,-0.0914065354437857,-0.0830000734394419,0,0,1.14305731087788,r_arm_gripper_base,-1,0,0,300,3,0,0.1,,,,,,,,
r_gripper_r_finger,-0.0195761331228345,0.0165363041413611,0.000399847238456763,0,0,0,0.0162893218523249,5.48940286216819E-06,2.16963469343169E-06,4.42630322994913E-10,2.7499483324012E-06,-1.14140073653415E-12,7.84217510614175E-06,0,0,0,0,0,0,package://grape_harvester/meshes/r_gripper_r_finger.STL,0.847058823529412,0.847058823529412,0.847058823529412,1,0,0,0,0,0,0,package://grape_harvester/meshes/r_gripper_r_finger.STL,,GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt34.stp-2;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt36.stp-1;GH275.stp-1/eBom-asm11.stp-1/eBom-asm12.stp-1/eBom-prt35.stp-1,Coordinate System23,Axis14,r_gripper_base_r_finger,prismatic,0.200502478521291,-0.0914065354437857,-0.0830000734394419,0,0,1.14305731087788,r_arm_gripper_base,-1,0,0,300,3,0,0.1,,,,,,,,
